camera,source_frame,output_frame,object_id,total_ms,cache_attach_ms,next_tracker_ms,tracker_frames_before_attach,epoch_ms
06e9e5b9,2046,2047,190452056632062,300.189514,230.311025,229.517085,1,1790072169744.851
06e9e5b9,2046,2047,70711888968577,300.17599,208.967089,208.186673,1,1790072169744.851
06e9e5b9,2094,2095,39887468676787,277.818855,223.636609,222.834773,1,1790072171756.535
06e9e5b9,2094,2095,190452056632062,277.824852,204.015055,203.207222,1,1790072171756.535
06e9e5b9,2094,2095,70711888968577,277.811035,181.097769,180.303753,1,1790072171756.535
e0606b55,2131,2132,71814450497889,273.025138,186.516673,179.400278,1,1790072173691.833
e0606b55,2177,2178,259797768333273,261.126272,203.167133,201.55304,1,1790072175705.051
06e9e5b9,2190,2191,39887468676787,283.909019,206.737078,206.083502,1,1790072175752.009
06e9e5b9,2190,2191,190452056632062,283.918099,184.713922,184.051266,1,1790072175752.009
e0606b55,2225,2226,259797768333273,269.311091,206.710517,206.165126,1,1790072177682.015
06e9e5b9,2238,2239,39887468676787,280.372552,186.329514,185.804222,1,1790072177755.816
